player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
dh58,alex-de-minaur,Alex De Minaur,2026,all,97,63,58,72,55,138,67,274,83,65,29,53,162,41,279,24,38,51
dh58,alex-de-minaur,Alex De Minaur,2026,Hard,83,43,61,72,57,91,70,206,87,66,30,52,119,44,210,25,38,52
dh58,alex-de-minaur,Alex De Minaur,2026,Clay,14,20,49,69,52,47,60,68,72,60,26,54,43,33,69,20,38,49
dh58,alex-de-minaur,Alex De Minaur,2026,Grass,,,,,,,,,,,,,,,,,,
dh58,alex-de-minaur,Alex De Minaur,2026,Carpet,,,,,,,,,,,,,,,,,,
dh58,alex-de-minaur,Alex De Minaur,2025,all,309,185,56,73,57,379,63,897,84,66,32,54,597,43,889,29,41,53
dh58,alex-de-minaur,Alex De Minaur,2025,Hard,258,137,56,74,58,270,65,659,86,67,32,54,428,42,649,27,41,53
dh58,alex-de-minaur,Alex De Minaur,2025,Clay,32,35,53,74,55,76,58,164,80,65,34,54,108,53,166,34,42,53
dh58,alex-de-minaur,Alex De Minaur,2025,Grass,19,13,54,72,58,33,61,74,82,66,30,58,61,34,74,28,41,53
dh58,alex-de-minaur,Alex De Minaur,2025,Carpet,,,,,,,,,,,,,,,,,,
dh58,alex-de-minaur,Alex De Minaur,2024,all,295,180,54,73,54,377,60,802,81,65,33,56,570,45,814,32,42,53
dh58,alex-de-minaur,Alex De Minaur,2024,Hard,219,113,54,74,55,236,62,522,83,65,31,55,329,45,528,28,41,52
dh58,alex-de-minaur,Alex De Minaur,2024,Clay,39,43,54,69,56,91,54,177,76,63,38,54,138,50,182,38,44,53
dh58,alex-de-minaur,Alex De Minaur,2024,Grass,37,24,54,78,50,50,58,103,80,65,35,61,103,38,104,38,46,55
dh58,alex-de-minaur,Alex De Minaur,2024,Carpet,,,,,,,,,,,,,,,,,,
dh58,alex-de-minaur,Alex De Minaur,2023,all,229,177,56,72,54,374,59,764,80,64,34,52,518,43,773,29,41,52
dh58,alex-de-minaur,Alex De Minaur,2023,Hard,177,128,56,73,53,280,59,551,79,64,34,53,367,46,556,31,42,52
dh58,alex-de-minaur,Alex De Minaur,2023,Clay,11,23,56,70,52,58,59,98,76,62,32,49,70,40,101,28,39,50
dh58,alex-de-minaur,Alex De Minaur,2023,Grass,41,26,58,74,59,36,58,115,87,68,33,49,81,32,116,22,39,53
dh58,alex-de-minaur,Alex De Minaur,2023,Carpet,,,,,,,,,,,,,,,,,,
mm58,daniil-medvedev,Daniil Medvedev,all,all,4895,2311,62,75,51,3388,63,7520,83,66,32,53,4842,42,7547,27,40,53
mm58,daniil-medvedev,Daniil Medvedev,all,Hard,3803,1705,62,76,51,2432,65,5484,84,67,32,54,3635,43,5497,28,40,53
mm58,daniil-medvedev,Daniil Medvedev,all,Clay,374,315,59,70,49,562,56,1017,75,61,34,50,675,42,1033,27,40,51
mm58,daniil-medvedev,Daniil Medvedev,all,Grass,718,291,63,76,51,394,63,1019,86,67,28,53,532,42,1017,22,37,52
mm58,daniil-medvedev,Daniil Medvedev,all,Carpet,,,,,,,,,,,,,,,,,,
