match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB23ZARCAD,KXATPCHALLENGERMATCH-26FEB23ZARCAD-ZAR_candles.csv,0.32,0,60.0,0.1024,True
KXATPCHALLENGERMATCH-26FEB24BARFER,KXATPCHALLENGERMATCH-26FEB24BARFER-BAR_candles.csv,0.12,0,60.0,0.0144,True
KXATPCHALLENGERMATCH-26FEB24DHASAK,KXATPCHALLENGERMATCH-26FEB24DHASAK-DHA_candles.csv,0.81,1,60.0,0.03609999999999998,True
KXATPCHALLENGERMATCH-26FEB24FATMOR,KXATPCHALLENGERMATCH-26FEB24FATMOR-FAT_candles.csv,0.36,0,60.0,0.1296,True
KXATPCHALLENGERMATCH-26FEB24MARGHI,KXATPCHALLENGERMATCH-26FEB24MARGHI-GHI_candles.csv,0.31,0,60.0,0.0961,True
KXATPCHALLENGERMATCH-26FEB24SIMLEO,KXATPCHALLENGERMATCH-26FEB24SIMLEO-LEO_candles.csv,0.46,0,60.0,0.2116,True
KXATPCHALLENGERMATCH-26FEB25AJDFER,KXATPCHALLENGERMATCH-26FEB25AJDFER-FER_candles.csv,0.33,0,60.0,0.10890000000000001,True
KXATPCHALLENGERMATCH-26FEB25BLABRO,KXATPCHALLENGERMATCH-26FEB25BLABRO-BLA_candles.csv,0.59,1,60.0,0.16810000000000003,True
KXATPCHALLENGERMATCH-26FEB25BOULOK,KXATPCHALLENGERMATCH-26FEB25BOULOK-BOU_candles.csv,0.3,0,60.0,0.09,True
KXATPCHALLENGERMATCH-26FEB25CADDUT,KXATPCHALLENGERMATCH-26FEB25CADDUT-CAD_candles.csv,0.7,1,60.0,0.09000000000000002,True
KXATPCHALLENGERMATCH-26FEB25DODSKA,KXATPCHALLENGERMATCH-26FEB25DODSKA-SKA_candles.csv,0.13,0,60.0,0.016900000000000002,True
KXATPCHALLENGERMATCH-26FEB25MRVMMO,KXATPCHALLENGERMATCH-26FEB25MRVMMO-MMO_candles.csv,0.65,0,60.0,0.42250000000000004,True
KXATPCHALLENGERMATCH-26FEB25SIMGRA,KXATPCHALLENGERMATCH-26FEB25SIMGRA-GRA_candles.csv,0.49,1,60.0,0.2601,True
KXATPCHALLENGERMATCH-26FEB26AGUVAR,KXATPCHALLENGERMATCH-26FEB26AGUVAR-VAR_candles.csv,0.26,1,60.0,0.5476,True
KXATPCHALLENGERMATCH-26FEB26BLAGAD,KXATPCHALLENGERMATCH-26FEB26BLAGAD-BLA_candles.csv,0.54,1,60.0,0.21159999999999995,True
KXATPCHALLENGERMATCH-26FEB26BRUSCH,KXATPCHALLENGERMATCH-26FEB26BRUSCH-BRU_candles.csv,0.59,0,60.0,0.34809999999999997,True
KXATPCHALLENGERMATCH-26FEB26HOLBRU,KXATPCHALLENGERMATCH-26FEB26HOLBRU-HOL_candles.csv,0.18,0,60.0,0.0324,True
KXATPCHALLENGERMATCH-26FEB26HUEGLI,KXATPCHALLENGERMATCH-26FEB26HUEGLI-GLI_candles.csv,0.5,0,60.0,0.25,True
KXATPCHALLENGERMATCH-26FEB26JUSGUI,KXATPCHALLENGERMATCH-26FEB26JUSGUI-GUI_candles.csv,0.31,1,60.0,0.4760999999999999,True
KXATPCHALLENGERMATCH-26FEB26OLIPAL,KXATPCHALLENGERMATCH-26FEB26OLIPAL-OLI_candles.csv,0.75,0,60.0,0.5625,True
KXATPCHALLENGERMATCH-26FEB26POUDRO,KXATPCHALLENGERMATCH-26FEB26POUDRO-DRO_candles.csv,0.66,1,60.0,0.11559999999999998,True
KXATPCHALLENGERMATCH-26FEB27BRUHUE,KXATPCHALLENGERMATCH-26FEB27BRUHUE-HUE_candles.csv,0.45,0,60.0,0.2025,True
KXATPCHALLENGERMATCH-26FEB27BUDDOD,KXATPCHALLENGERMATCH-26FEB27BUDDOD-BUD_candles.csv,0.43,0,60.0,0.18489999999999998,True
KXATPCHALLENGERMATCH-26FEB27BUTIMA,KXATPCHALLENGERMATCH-26FEB27BUTIMA-BUT_candles.csv,0.92,1,60.0,0.006399999999999993,True
KXATPCHALLENGERMATCH-26FEB27DEDVAR,KXATPCHALLENGERMATCH-26FEB27DEDVAR-VAR_candles.csv,0.5,0,60.0,0.25,True
