match_id,p1_won_set1,p1_prob,outcome,brier
9504,True,0.9914,0,0.9828739599999999
9505,False,0.0004,1,0.9992001600000001
9506,False,0.1648,0,0.027159040000000002
9507,False,0.0056,0,3.136e-05
9510,True,0.9404,1,0.0035521599999999982
9511,False,0.0138,1,0.97259044
9515,False,0.3796,0,0.14409616
9516,False,0.0216,0,0.00046656000000000003
9517,True,0.888,1,0.012543999999999998
9518,False,0.0018,0,3.24e-06
9519,False,0.0,0,0.0
9521,True,0.998,0,0.996004
9522,True,0.996,1,1.600000000000003e-05
9524,False,0.0004,0,1.6e-07
9526,False,0.0776,0,0.00602176
9527,False,0.014,0,0.00019600000000000002
9530,False,0.1112,0,0.012365439999999998
9531,True,0.9234,0,0.85266756
9532,True,0.9878,1,0.00014883999999999972
9533,False,0.002,0,4e-06
9534,True,0.9956,1,1.9359999999999645e-05
9535,True,0.9998,1,3.9999999999991186e-08
9536,True,0.8846,1,0.013317159999999988
9538,False,0.0122,0,0.00014884000000000002
9539,False,0.0048,0,2.3039999999999996e-05
9541,False,0.0082,1,0.98366724
9544,True,1.0,1,0.0
9545,True,0.999,1,1.0000000000000019e-06
9546,True,0.9598,1,0.001616040000000001
9548,True,0.9076,1,0.008537760000000007
9550,True,1.0,1,0.0
9553,True,1.0,1,0.0
9554,True,1.0,1,0.0
9555,False,0.0,0,0.0
9557,True,0.9992,1,6.400000000000366e-07
9560,True,0.9266,1,0.005387560000000003
9561,False,0.004,1,0.992016
9562,False,0.0196,0,0.00038416
9563,False,0.1676,0,0.02808976
9564,True,0.998,1,4.0000000000000074e-06
9566,True,0.9988,1,1.4399999999999494e-06
9567,False,0.187,1,0.6609689999999999
9570,False,0.1804,0,0.03254416
9574,False,0.0318,0,0.00101124
9575,True,0.9908,1,8.463999999999975e-05
9579,True,1.0,0,1.0
9580,True,0.9996,1,1.5999999999996475e-07
9581,True,1.0,1,0.0
9582,False,0.0046,0,2.116e-05
9583,False,0.5566,0,0.30980356
9584,False,0.0258,1,0.9490656399999999
9587,True,0.968,1,0.001024000000000002
9588,False,0.0094,0,8.836e-05
9592,False,0.0418,0,0.0017472399999999997
9593,True,1.0,1,0.0
9594,True,0.9972,1,7.840000000000138e-06
9598,True,0.993,1,4.9000000000000087e-05
9599,False,0.1806,0,0.032616360000000004
9600,False,0.0468,0,0.00219024
9601,False,0.141,0,0.019880999999999996
